ncircles,popsize,cprob,mprob,mrange,sp,fitness,covered,overlaped
12,50,0.800,0.060,0.040,0.35,86.4453,86.4453,0.0000
12,50,0.800,0.060,0.050,0.35,83.2880,83.2880,0.0000
12,50,0.800,0.060,0.060,0.35,76.7011,76.7011,0.0000
12,50,0.800,0.060,0.070,0.35,85.5743,85.5743,0.0000
12,50,0.800,0.070,0.030,0.35,86.2820,86.2820,0.0000
12,50,0.800,0.070,0.040,0.35,85.7921,85.7921,0.0000
12,50,0.800,0.070,0.050,0.35,85.1932,85.1932,0.0000
12,50,0.800,0.070,0.060,0.35,80.8928,80.8928,0.0000
12,50,0.800,0.070,0.070,0.35,87.5340,87.5340,0.0000
12,50,0.800,0.080,0.030,0.35,86.5542,86.5542,0.0000
12,50,0.800,0.080,0.040,0.35,80.0218,80.0218,0.0000
12,50,0.800,0.080,0.050,0.35,80.1306,80.1306,0.0000
12,50,0.800,0.080,0.060,0.35,84.6489,84.6489,0.0000
12,50,0.800,0.080,0.070,0.35,73.0511,77.0278,0.0544
-------------------------------------------
12,60,0.300,0.020,0.030,0.35,82.1992,82.1992,0.0000
12,60,0.300,0.020,0.040,0.35,79.3141,79.3141,0.0000
12,60,0.300,0.020,0.050,0.35,78.4431,78.4431,0.0000
12,60,0.300,0.020,0.060,0.35,81.3283,81.3283,0.0000
12,60,0.300,0.020,0.070,0.35,77.5177,77.5177,0.0000
12,60,0.300,0.030,0.030,0.35,86.6630,86.6630,0.0000
12,60,0.300,0.030,0.040,0.35,81.1105,81.1105,0.0000
12,60,0.300,0.030,0.050,0.35,75.8302,75.8302,0.0000
12,60,0.300,0.030,0.060,0.35,86.3364,86.3364,0.0000
12,60,0.300,0.030,0.070,0.35,78.8786,78.8786,0.0000
12,60,0.300,0.040,0.030,0.35,84.7578,84.7578,0.0000
12,60,0.300,0.040,0.040,0.35,84.7578,84.7578,0.0000
12,60,0.300,0.040,0.050,0.35,80.8928,80.8928,0.0000
12,60,0.300,0.040,0.060,0.35,83.6690,83.6690,0.0000
12,60,0.300,0.040,0.070,0.35,82.5259,82.5259,0.0000
12,60,0.300,0.050,0.030,0.35,82.2537,82.2537,0.0000
12,60,0.300,0.050,0.040,0.35,82.7980,82.7980,0.0000
12,60,0.300,0.050,0.050,0.35,80.6206,80.6206,0.0000
12,60,0.300,0.050,0.060,0.35,82.1448,82.1448,0.0000
12,60,0.300,0.050,0.070,0.35,80.1851,80.1851,0.0000
12,60,0.300,0.060,0.030,0.35,85.3566,85.3566,0.0000
12,60,0.300,0.060,0.040,0.35,83.8323,83.8323,0.0000
12,60,0.300,0.060,0.050,0.35,80.5117,80.5117,0.0000
12,60,0.300,0.060,0.060,0.35,84.0501,84.0501,0.0000
12,60,0.300,0.060,0.070,0.35,79.8585,79.8585,0.0000
12,60,0.300,0.070,0.030,0.35,87.9695,87.9695,0.0000
12,60,0.300,0.070,0.040,0.35,86.1731,86.1731,0.0000
12,60,0.300,0.070,0.050,0.35,70.2776,70.2776,0.0000
12,60,0.300,0.070,0.060,0.35,84.4856,84.4856,0.0000
12,60,0.300,0.070,0.070,0.35,75.4491,75.4491,0.0000
12,60,0.300,0.080,0.030,0.35,86.6086,86.6086,0.0000
12,60,0.300,0.080,0.040,0.35,80.6206,80.6206,0.0000
12,60,0.300,0.080,0.050,0.35,86.1731,86.1731,0.0000
12,60,0.300,0.080,0.060,0.35,85.7376,85.7376,0.0000
12,60,0.300,0.080,0.070,0.35,86.6630,86.6630,0.0000
-------------------------------------------
12,60,0.450,0.020,0.030,0.35,79.8040,79.8040,0.0000
12,60,0.450,0.020,0.040,0.35,88.1328,88.1328,0.0000
12,60,0.450,0.020,0.050,0.35,79.8040,79.8040,0.0000
12,60,0.450,0.020,0.060,0.35,82.5259,82.5259,0.0000
12,60,0.450,0.020,0.070,0.35,82.3625,82.3625,0.0000
12,60,0.450,0.030,0.030,0.35,79.7496,79.7496,0.0000
12,60,0.450,0.030,0.040,0.35,87.9695,87.9695,0.0000
12,60,0.450,0.030,0.050,0.35,83.8868,83.8868,0.0000
12,60,0.450,0.030,0.060,0.35,84.2134,84.2134,0.0000
12,60,0.450,0.030,0.070,0.35,74.1971,74.1971,0.0000
12,60,0.450,0.040,0.030,0.35,86.9352,86.9352,0.0000
12,60,0.450,0.040,0.040,0.35,84.4856,84.4856,0.0000
12,60,0.450,0.040,0.050,0.35,83.2880,83.2880,0.0000
12,60,0.450,0.040,0.060,0.35,85.5743,85.5743,0.0000
12,60,0.450,0.040,0.070,0.35,76.0479,76.0479,0.0000
12,60,0.450,0.050,0.030,0.35,89.0038,89.0038,0.0000
12,60,0.450,0.050,0.040,0.35,85.7921,85.7921,0.0000
12,60,0.450,0.050,0.050,0.35,78.9875,78.9875,0.0000
12,60,0.450,0.050,0.060,0.35,78.2798,78.2798,0.0000
12,60,0.450,0.050,0.070,0.35,72.4007,72.4007,0.0000
12,60,0.450,0.060,0.030,0.35,86.4453,86.4453,0.0000
12,60,0.450,0.060,0.040,0.35,90.9091,90.9091,0.0000
12,60,0.450,0.060,0.050,0.35,85.3566,85.3566,0.0000
12,60,0.450,0.060,0.060,0.35,75.7757,75.7757,0.0000
12,60,0.450,0.060,0.070,0.35,84.9211,84.9211,0.0000
12,60,0.450,0.070,0.030,0.35,86.1187,86.1187,0.0000
12,60,0.450,0.070,0.040,0.35,83.5602,83.5602,0.0000
12,60,0.450,0.070,0.050,0.35,83.8868,83.8868,0.0000
12,60,0.450,0.070,0.060,0.35,85.3566,85.3566,0.0000
12,60,0.450,0.070,0.070,0.35,79.6952,79.6952,0.0000
12,60,0.450,0.080,0.030,0.35,86.7175,86.7175,0.0000
12,60,0.450,0.080,0.040,0.35,84.5400,84.5400,0.0000
12,60,0.450,0.080,0.050,0.35,88.1873,88.1873,0.0000
12,60,0.450,0.080,0.060,0.35,84.9211,84.9211,0.0000
12,60,0.450,0.080,0.070,0.35,77.7899,77.7899,0.0000
-------------------------------------------
12,60,0.650,0.020,0.030,0.35,83.0158,83.0158,0.0000
12,60,0.650,0.020,0.040,0.35,81.9271,81.9271,0.0000
12,60,0.650,0.020,0.050,0.35,80.1306,80.1306,0.0000
12,60,0.650,0.020,0.060,0.35,84.8122,84.8122,0.0000
12,60,0.650,0.020,0.070,0.35,72.6728,72.6728,0.0000
12,60,0.650,0.030,0.030,0.35,86.9897,86.9897,0.0000
12,60,0.650,0.030,0.040,0.35,86.3364,86.3364,0.0000
12,60,0.650,0.030,0.050,0.35,79.1508,79.1508,0.0000
12,60,0.650,0.030,0.060,0.35,77.0278,77.0278,0.0000
12,60,0.650,0.030,0.070,0.35,85.7376,85.7376,0.0000
12,60,0.650,0.040,0.030,0.35,85.7921,85.7921,0.0000
12,60,0.650,0.040,0.040,0.35,75.6124,75.6124,0.0000
12,60,0.650,0.040,0.050,0.35,86.4997,86.4997,0.0000
12,60,0.650,0.040,0.060,0.35,84.1590,84.1590,0.0000
12,60,0.650,0.040,0.070,0.35,80.1851,80.1851,0.0000
